Пользователь: sync, Домашняя директория: /home/katia
Пользователь: www-data, Домашняя директория: /home/katia
Пользователь: dhcpcd, Домашняя директория: /home/katia
Пользователь: kernoops, Домашняя директория: /home/katia
Пользователь: fwupd-refresh, Домашняя директория: /home/katia
Пользователь: gnome-initial-setup, Домашняя директория: /home/katia
Пользователь: games, Домашняя директория: /home/katia
Пользователь: backup, Домашняя директория: /home/katia
Пользователь: messagebus, Домашняя директория: /home/katia
Пользователь: whoopsie, Домашняя директория: /home/katia
Пользователь: saned, Домашняя директория: /home/katia
Пользователь: gdm, Домашняя директория: /home/katia
Пользователь: man, Домашняя директория: /home/katia
Пользователь: list, Домашняя директория: /home/katia
Пользователь: syslog, Домашняя директория: /home/katia
Пользователь: dnsmasq, Домашняя директория: /home/katia
Пользователь: geoclue, Домашняя директория: /home/katia
Пользователь: nm-openvpn, Домашняя директория: /home/katia
Пользователь: lp, Домашняя директория: /home/katia
Пользователь: irc, Домашняя директория: /home/katia
Пользователь: systemd-resolve, Домашняя директория: /home/katia
Пользователь: avahi, Домашняя директория: /home/katia
Пользователь: cups-browsed, Домашняя директория: /home/katia
Пользователь: gnome-remote-desktop, Домашняя директория: /home/katia
Пользователь: root, Домашняя директория: /home/katia
Пользователь: mail, Домашняя директория: /home/katia
Пользователь: _apt, Домашняя директория: /home/katia
Пользователь: uuidd, Домашняя директория: /home/katia
Пользователь: tcpdump, Домашняя директория: /home/katia
Пользователь: hplip, Домашняя директория: /home/katia
Пользователь: katia, Домашняя директория: /home/katia
Пользователь: daemon, Домашняя директория: /home/katia
Пользователь: news, Домашняя директория: /home/katia
Пользователь: nobody, Домашняя директория: /home/katia
Пользователь: usbmux, Домашняя директория: /home/katia
Пользователь: sssd, Домашняя директория: /home/katia
Пользователь: polkitd, Домашняя директория: /home/katia
Пользователь: bin, Домашняя директория: /home/katia
Пользователь: uucp, Домашняя директория: /home/katia
Пользователь: systemd-network, Домашняя директория: /home/katia
Пользователь: tss, Домашняя директория: /home/katia
Пользователь: speech-dispatcher, Домашняя директория: /home/katia
Пользователь: rtkit, Домашняя директория: /home/katia
Пользователь: sys, Домашняя директория: /home/katia
Пользователь: proxy, Домашняя директория: /home/katia
Пользователь: systemd-timesync, Домашняя директория: /home/katia
Пользователь: systemd-oom, Домашняя директория: /home/katia
Пользователь: cups-pk-helper, Домашняя директория: /home/katia
Пользователь: colord, Домашняя директория: /home/katia
